county,fips,date_local,ozone_avg
Bell,48027,2017-09-01,66
Bell,48027,2017-09-02,60
Bell,48027,2017-09-03,61
Bell,48027,2017-09-04,58
Bell,48027,2017-09-05,51
Bell,48027,2017-09-06,62
Bell,48027,2017-09-07,54
Bell,48027,2017-09-08,51
Bell,48027,2017-09-09,57
Bell,48027,2017-09-10,60
Bell,48027,2017-09-11,68
Bell,48027,2017-09-12,61
Bell,48027,2017-09-13,80
Bell,48027,2017-09-14,64
Bell,48027,2017-09-15,53
Bell,48027,2017-09-16,48
Bell,48027,2017-09-17,49
Bell,48027,2017-09-18,45
Bell,48027,2017-09-19,33
Bell,48027,2017-09-20,37
Bell,48027,2017-09-21,31
Bell,48027,2017-09-22,39
Bell,48027,2017-09-23,51
Bell,48027,2017-09-24,48
Bell,48027,2017-09-25,47
Bell,48027,2017-09-26,36
Bell,48027,2017-09-27,51
Bell,48027,2017-09-28,40
Bell,48027,2017-09-29,39
Bell,48027,2017-09-30,68
Bell,48027,2017-10-01,64
Bell,48027,2017-10-02,53
Bell,48027,2017-10-03,31
Bell,48027,2017-10-04,47
Bell,48027,2017-10-05,53
Bell,48027,2017-10-06,57
Bell,48027,2017-10-07,41
Bell,48027,2017-10-08,61
Bell,48027,2017-10-09,50
Bell,48027,2017-10-10,33
Bell,48027,2017-10-11,51
Bell,48027,2017-10-12,61
Bell,48027,2017-10-13,46
Bell,48027,2017-10-14,46
Bell,48027,2017-10-15,44
Bell,48027,2017-10-16,49
Bell,48027,2017-10-17,53
Bell,48027,2017-10-18,62
Bell,48027,2017-10-19,50
Bell,48027,2017-10-20,44
Bell,48027,2017-10-21,36
Bell,48027,2017-10-22,42
Bell,48027,2017-10-23,56
Bell,48027,2017-10-24,45
Bell,48027,2017-10-25,44
Bell,48027,2017-10-26,59
Bell,48027,2017-10-27,35
Bell,48027,2017-10-28,45
Bell,48027,2017-10-29,45
Bell,48027,2017-10-30,56
Bell,48027,2017-10-31,30
Bell,48027,2017-11-01,35
Bell,48027,2017-11-02,48
Bell,48027,2017-11-03,43
Bell,48027,2017-11-04,34
Bell,48027,2017-11-05,31
Bell,48027,2017-11-06,42
Bell,48027,2017-11-07,22
Bell,48027,2017-11-08,12
Bell,48027,2017-11-09,11
Bell,48027,2017-11-10,35
